p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
4.23643,4.0912,0.145187,12.4558,0.00831504,0.00892198
4.2658,4.12049,0.145258,12.3686,0.00825679,0.00892596
4.29536,4.14999,0.145329,12.282,0.00819896,0.00892993
4.32514,4.17969,0.145399,12.196,0.00814153,0.00893386
4.35512,4.2096,0.14547,12.1106,0.00808452,0.00893778
4.38531,4.23972,0.14554,12.0259,0.00802791,0.00894167
4.4157,4.27005,0.145611,11.9417,0.0079717,0.00894553
4.44631,4.30059,0.145681,11.8581,0.00791589,0.00894938
4.47713,4.33134,0.145752,11.7751,0.00786048,0.0089532
4.50817,4.3623,0.145822,11.6927,0.00780547,0.008957
4.53942,4.39348,0.145893,11.6109,0.00775085,0.00896077
4.57088,4.42488,0.145963,11.5297,0.00769661,0.00896452
4.60257,4.45649,0.146034,11.4491,0.00764276,0.00896825
4.63447,4.48833,0.146104,11.369,0.00758929,0.00897196
4.66659,4.52038,0.146175,11.2895,0.0075362,0.00897564
4.69894,4.55266,0.146245,11.2106,0.00748349,0.0089793
4.73151,4.58516,0.146315,11.1322,0.00743115,0.00898294
4.76431,4.61789,0.146386,11.0544,0.00737919,0.00898656
4.79733,4.65084,0.146456,10.9771,0.00732759,0.00899016
4.83059,4.68403,0.146526,10.9004,0.00727636,0.00899373
4.86407,4.71744,0.146597,10.8242,0.0072255,0.00899728
4.89779,4.75109,0.146667,10.7486,0.00717499,0.00900081
4.93174,4.78497,0.146737,10.6735,0.00712484,0.00900432
4.96592,4.81908,0.146808,10.5989,0.00707505,0.00900781
5.00035,4.85343,0.146878,10.5249,0.00702561,0.00901128
5.03501,4.88802,0.146948,10.4513,0.00697652,0.00901473
5.06991,4.92286,0.147018,10.3783,0.00692778,0.00901815
5.10505,4.95793,0.147088,10.3059,0.00687939,0.00902155
5.14044,4.99325,0.147158,10.2339,0.00683133,0.00902494
5.17607,5.02881,0.147229,10.1624,0.00678362,0.0090283
5.21195,5.06462,0.147299,10.0915,0.00673625,0.00903164
5.24807,5.10068,0.147369,10.021,0.00668921,0.00903496
5.28445,5.13698,0.147439,9.9511,0.0066425,0.00903826
5.32108,5.17354,0.147509,9.88164,0.00659613,0.00904155
5.35797,5.21036,0.147579,9.81268,0.00655009,0.00904481
5.39511,5.24743,0.147649,9.7442,0.00650436,0.00904805
5.4325,5.28476,0.147719,9.67621,0.00645896,0.00905127
5.47016,5.32234,0.147789,9.6087,0.00641389,0.00905448
5.50808,5.36019,0.147859,9.54167,0.00636913,0.00905766
5.54626,5.3983,0.147929,9.4751,0.00632468,0.00906082
5.5847,5.43668,0.147998,9.40901,0.00628056,0.00906397
5.62341,5.47532,0.148068,9.34339,0.00623674,0.00906709
5.66239,5.51423,0.148138,9.27823,0.00619324,0.0090702
5.70164,5.55341,0.148208,9.21353,0.00615003,0.00907329
5.74116,5.59286,0.148278,9.14929,0.00610714,0.00907635
