p_initial,total_mean,bethe,total_mode,landau_sigma
1.166,0.000244919,0.000244724,0.000220281,1.654e-05
1.1776,0.000245062,0.000244865,0.000220408,1.65373e-05
1.18932,0.000245206,0.000245007,0.000220536,1.65347e-05
1.20116,0.000245351,0.00024515,0.000220665,1.65322e-05
1.21311,0.000245497,0.000245293,0.000220794,1.65297e-05
1.22519,0.000245643,0.000245437,0.000220924,1.65273e-05
1.23738,0.000245789,0.000245582,0.000221055,1.65249e-05
1.2497,0.000245937,0.000245727,0.000221186,1.65225e-05
1.26213,0.000246084,0.000245873,0.000221317,1.65202e-05
1.2747,0.000246233,0.000246019,0.000221449,1.6518e-05
1.28738,0.000246382,0.000246166,0.000221582,1.65158e-05
1.3002,0.000246532,0.000246314,0.000221715,1.65136e-05
1.31314,0.000246682,0.000246462,0.000221849,1.65115e-05
1.32621,0.000246833,0.000246611,0.000221983,1.65094e-05
1.33941,0.000246984,0.00024676,0.000222117,1.65073e-05
1.35274,0.000247136,0.000246909,0.000222252,1.65053e-05
1.3662,0.000247288,0.00024706,0.000222388,1.65034e-05
1.3798,0.000247441,0.00024721,0.000222524,1.65014e-05
1.39353,0.000247595,0.000247361,0.00022266,1.64996e-05
1.4074,0.000247749,0.000247513,0.000222797,1.64977e-05
1.42141,0.000247903,0.000247665,0.000222934,1.64959e-05
1.43555,0.000248058,0.000247817,0.000223072,1.64941e-05
1.44984,0.000248213,0.00024797,0.00022321,1.64924e-05
1.46427,0.000248369,0.000248124,0.000223348,1.64907e-05
1.47884,0.000248525,0.000248277,0.000223487,1.6489e-05
1.49356,0.000248682,0.000248431,0.000223626,1.64874e-05
1.50843,0.000248839,0.000248586,0.000223765,1.64857e-05
1.52344,0.000248996,0.000248741,0.000223905,1.64842e-05
1.5386,0.000249154,0.000248896,0.000224045,1.64826e-05
1.55392,0.000249312,0.000249052,0.000224186,1.64811e-05
1.56938,0.00024947,0.000249208,0.000224326,1.64796e-05
1.585,0.000249629,0.000249364,0.000224467,1.64782e-05
1.60078,0.000249789,0.000249521,0.000224609,1.64767e-05
1.61671,0.000249948,0.000249678,0.00022475,1.64753e-05
1.6328,0.000250108,0.000249835,0.000224892,1.64739e-05
1.64905,0.000250268,0.000249992,0.000225034,1.64726e-05
1.66546,0.000250429,0.00025015,0.000225177,1.64713e-05
1.68204,0.00025059,0.000250308,0.00022532,1.647e-05
1.69878,0.000250751,0.000250467,0.000225463,1.64687e-05
1.71569,0.000250913,0.000250625,0.000225606,1.64675e-05
1.73276,0.000251074,0.000250784,0.000225749,1.64663e-05
1.75001,0.000251236,0.000250944,0.000225893,1.64651e-05
1.76742,0.000251399,0.000251103,0.000226037,1.64639e-05
1.78501,0.000251561,0.000251263,0.000226181,1.64627e-05
1.80278,0.000251724,0.000251423,0.000226326,1.64616e-05
1.82072,0.000251887,0.000251583,0.00022647,1.64605e-05
1.83884,0.000252051,0.000251743,0.000226615,1.64594e-05
1.85715,0.000252214,0.000251904,0.00022676,1.64584e-05
1.87563,0.000252378,0.000252064,0.000226905,1.64573e-05
1.8943,0.000252542,0.000252225,0.00022705,1.64563e-05
1.91315,0.000252707,0.000252386,0.000227196,1.64553e-05
1.93219,0.000252871,0.000252548,0.000227342,1.64543e-05
1.95142,0.000253036,0.000252709,0.000227487,1.64533e-05
1.97084,0.000253201,0.000252871,0.000227633,1.64524e-05
1.99046,0.000253366,0.000253033,0.000227779,1.64515e-05
2.01027,0.000253531,0.000253195,0.000227926,1.64506e-05
2.03028,0.000253697,0.000253357,0.000228072,1.64497e-05
2.05048,0.000253862,0.000253519,0.000228219,1.64488e-05
2.07089,0.000254028,0.000253682,0.000228365,1.6448e-05
2.0915,0.000254194,0.000253844,0.000228512,1.64471e-05
2.11232,0.00025436,0.000254007,0.000228659,1.64463e-05
2.13334,0.000254527,0.00025417,0.000228806,1.64455e-05
2.15457,0.000254693,0.000254333,0.000228953,1.64447e-05
2.17602,0.00025486,0.000254496,0.000229101,1.64439e-05
2.19767,0.000255026,0.000254659,0.000229248,1.64432e-05
2.21955,0.000255193,0.000254822,0.000229395,1.64424e-05
2.24164,0.00025536,0.000254985,0.000229543,1.64417e-05
2.26395,0.000255527,0.000255149,0.000229691,1.6441e-05
2.28648,0.000255695,0.000255312,0.000229838,1.64403e-05
2.30924,0.000255862,0.000255476,0.000229986,1.64396e-05
2.33222,0.000256029,0.00025564,0.000230134,1.64389e-05
2.35543,0.000256197,0.000255803,0.000230282,1.64383e-05
2.37888,0.000256365,0.000255967,0.00023043,1.64376e-05
2.40255,0.000256533,0.000256131,0.000230578,1.6437e-05
2.42646,0.0002567,0.000256295,0.000230726,1.64364e-05
2.45061,0.000256868,0.000256459,0.000230874,1.64357e-05
2.475,0.000257037,0.000256623,0.000231023,1.64352e-05
2.49964,0.000257205,0.000256787,0.000231171,1.64346e-05
2.52451,0.000257373,0.000256951,0.000231319,1.6434e-05
2.54964,0.000257541,0.000257115,0.000231467,1.64334e-05
2.57502,0.00025771,0.000257279,0.000231616,1.64329e-05
2.60064,0.000257878,0.000257443,0.000231764,1.64323e-05
2.62653,0.000258046,0.000257607,0.000231913,1.64318e-05
2.65267,0.000258215,0.000257772,0.000232061,1.64313e-05
2.67907,0.000258384,0.000257936,0.000232209,1.64308e-05
2.70573,0.000258552,0.0002581,0.000232358,1.64303e-05
2.73266,0.000258721,0.000258264,0.000232506,1.64298e-05
2.75986,0.00025889,0.000258428,0.000232655,1.64293e-05
2.78733,0.000259059,0.000258593,0.000232803,1.64288e-05
2.81507,0.000259227,0.000258757,0.000232952,1.64284e-05
2.84309,0.000259396,0.000258921,0.0002331,1.64279e-05
2.87138,0.000259565,0.000259085,0.000233249,1.64275e-05
2.89996,0.000259734,0.000259249,0.000233397,1.6427e-05
2.92882,0.000259903,0.000259414,0.000233546,1.64266e-05
2.95797,0.000260072,0.000259578,0.000233694,1.64262e-05
2.98741,0.000260241,0.000259742,0.000233842,1.64258e-05
3.01715,0.00026041,0.000259906,0.000233991,1.64254e-05
3.04718,0.000260579,0.00026007,0.000234139,1.6425e-05
3.0775,0.000260748,0.000260234,0.000234288,1.64246e-05
3.10813,0.000260917,0.000260398,0.000234436,1.64242e-05
3.13907,0.000261086,0.000260562,0.000234584,1.64238e-05
3.17031,0.000261255,0.000260726,0.000234732,1.64235e-05
3.20186,0.000261425,0.000260889,0.000234881,1.64231e-05
3.23373,0.000261594,0.000261053,0.000235029,1.64228e-05
3.26591,0.000261763,0.000261217,0.000235177,1.64224e-05
3.29842,0.000261932,0.00026138,0.000235325,1.64221e-05
3.33125,0.000262101,0.000261544,0.000235473,1.64218e-05
3.3644,0.00026227,0.000261708,0.000235621,1.64214e-05
3.39789,0.000262439,0.000261871,0.000235769,1.64211e-05
3.4317,0.000262608,0.000262034,0.000235917,1.64208e-05
3.46586,0.000262777,0.000262198,0.000236065,1.64205e-05
3.50035,0.000262946,0.000262361,0.000236212,1.64202e-05
3.53519,0.000263115,0.000262524,0.00023636,1.64199e-05
3.57038,0.000263284,0.000262687,0.000236508,1.64196e-05
3.60591,0.000263453,0.00026285,0.000236655,1.64193e-05
3.6418,0.000263621,0.000263013,0.000236803,1.64191e-05
3.67804,0.00026379,0.000263176,0.00023695,1.64188e-05
3.71465,0.000263959,0.000263338,0.000237098,1.64185e-05
3.75162,0.000264128,0.000263501,0.000237245,1.64183e-05
3.78896,0.000264296,0.000263663,0.000237392,1.6418e-05
3.82667,0.000264465,0.000263826,0.000237539,1.64178e-05
3.86476,0.000264634,0.000263988,0.000237686,1.64175e-05
3.90322,0.000264802,0.00026415,0.000237833,1.64173e-05
3.94207,0.000264971,0.000264312,0.00023798,1.6417e-05
3.9813,0.00026514,0.000264474,0.000238127,1.64168e-05
4.02093,0.000265308,0.000264636,0.000238273,1.64166e-05
4.06095,0.000265476,0.000264798,0.00023842,1.64164e-05
4.10136,0.000265645,0.000264959,0.000238566,1.64161e-05
