p_initial,total_mean,bethe,total_mode,landau_sigma
0.446167,0.00119491,0.0011943,0.00107496,0.000100971
0.450608,0.00119589,0.00119527,0.00107583,0.000100866
0.455093,0.00119688,0.00119626,0.00107673,0.000100763
0.459622,0.0011979,0.00119727,0.00107764,0.000100662
0.464196,0.00119894,0.0011983,0.00107857,0.000100563
0.468816,0.0012,0.00119936,0.00107952,0.000100466
0.473482,0.00120108,0.00120043,0.00108048,0.00010037
0.478195,0.00120218,0.00120152,0.00108147,0.000100277
0.482954,0.00120329,0.00120264,0.00108247,0.000100185
0.487761,0.00120443,0.00120377,0.00108349,0.000100096
0.492615,0.00120559,0.00120492,0.00108453,0.000100008
0.497518,0.00120677,0.00120609,0.00108558,9.99215e-05
0.50247,0.00120796,0.00120728,0.00108665,9.98369e-05
0.507471,0.00120917,0.00120848,0.00108774,9.9754e-05
0.512521,0.0012104,0.0012097,0.00108884,9.96727e-05
0.517622,0.00121165,0.00121094,0.00108995,9.9593e-05
0.522774,0.00121291,0.0012122,0.00109109,9.95149e-05
0.527977,0.00121419,0.00121347,0.00109223,9.94383e-05
0.533232,0.00121549,0.00121476,0.0010934,9.93632e-05
0.538539,0.0012168,0.00121607,0.00109457,9.92896e-05
0.543899,0.00121813,0.00121739,0.00109576,9.92174e-05
0.549312,0.00121947,0.00121873,0.00109697,9.91466e-05
0.554779,0.00122083,0.00122008,0.00109818,9.90773e-05
0.560301,0.0012222,0.00122144,0.00109941,9.90092e-05
0.565877,0.00122359,0.00122283,0.00110066,9.89426e-05
0.571509,0.001225,0.00122422,0.00110192,9.88772e-05
0.577197,0.00122641,0.00122563,0.00110319,9.88131e-05
0.582942,0.00122784,0.00122705,0.00110447,9.87503e-05
0.588744,0.00122929,0.00122849,0.00110576,9.86887e-05
0.594604,0.00123075,0.00122994,0.00110707,9.86283e-05
0.600521,0.00123222,0.00123141,0.00110839,9.85691e-05
0.606498,0.0012337,0.00123288,0.00110972,9.8511e-05
0.612535,0.0012352,0.00123437,0.00111106,9.84541e-05
0.618631,0.00123671,0.00123587,0.00111241,9.83983e-05
0.624788,0.00123823,0.00123739,0.00111377,9.83436e-05
0.631006,0.00123976,0.00123891,0.00111515,9.829e-05
0.637286,0.00124131,0.00124045,0.00111653,9.82374e-05
0.643629,0.00124286,0.001242,0.00111793,9.81859e-05
0.650035,0.00124443,0.00124356,0.00111933,9.81354e-05
0.656505,0.00124601,0.00124513,0.00112075,9.80858e-05
0.663039,0.0012476,0.00124671,0.00112217,9.80372e-05
0.669638,0.0012492,0.0012483,0.00112361,9.79896e-05
0.676302,0.00125082,0.00124991,0.00112505,9.79429e-05
0.683033,0.00125244,0.00125152,0.00112651,9.78972e-05
0.689831,0.00125407,0.00125314,0.00112797,9.78523e-05
0.696697,0.00125571,0.00125478,0.00112944,9.78083e-05
0.703631,0.00125737,0.00125642,0.00113092,9.77652e-05
0.710634,0.00125903,0.00125807,0.00113241,9.77229e-05
0.717707,0.0012607,0.00125973,0.00113391,9.76815e-05
0.72485,0.00126238,0.00126141,0.00113541,9.76408e-05
0.732064,0.00126407,0.00126309,0.00113692,9.7601e-05
0.73935,0.00126577,0.00126477,0.00113845,9.75619e-05
0.746709,0.00126748,0.00126647,0.00113998,9.75236e-05
0.75414,0.00126919,0.00126818,0.00114151,9.74861e-05
0.761646,0.00127092,0.00126989,0.00114306,9.74493e-05
0.769227,0.00127265,0.00127162,0.00114461,9.74132e-05
0.776882,0.00127439,0.00127335,0.00114617,9.73778e-05
0.784615,0.00127614,0.00127509,0.00114774,9.73431e-05
0.792424,0.0012779,0.00127683,0.00114931,9.73091e-05
0.80031,0.00127966,0.00127859,0.00115089,9.72758e-05
0.808276,0.00128143,0.00128035,0.00115248,9.72431e-05
0.81632,0.00128321,0.00128212,0.00115407,9.72111e-05
0.824445,0.001285,0.0012839,0.00115567,9.71796e-05
0.83265,0.0012868,0.00128568,0.00115728,9.71488e-05
0.840937,0.0012886,0.00128747,0.00115889,9.71187e-05
0.849307,0.00129041,0.00128927,0.00116051,9.70891e-05
